Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size_(Bytes),Message_Size,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Phase,xsolve_timer,xcomm_timer,ysolve_timer,ycomm_timer,zsolve_timer,zcomm_timer,size_q,BT_ID,row_id
150,4,1.7 MiB,1738683.1872000003,11999.295999999998,11.7 KiB,625,1,1,Memory_Bound,BS,10.6989,4.237,10.9764,3.4945,17.2409,3.6268,25,-281772025961659960,-6672522995998927643
150,4,51.8 MiB,54333849.599999994,419337.6,409.5 KiB,625,1,1,Memory_Bound,FE,166.0715,98.0568,253.6701,41.8469,261.5562,37.5958,25,408711638043590517,7470684454114407956
150,4,25.9 MiB,27166924.799999997,69889.59999999999,68.3 KiB,625,1,1,Memory_Bound,BS,166.0715,98.0568,253.6701,41.8469,261.5562,37.5958,25,408711638043590517,3738133137360941531
150,10,12.7 MiB,13265100.0,168540.0,164.6 KiB,1600,1,1,Memory_Bound,FE,65.0419,18.4194,97.4317,23.4312,98.1014,17.1054,40,2163208065604125458,6917089622945072600
150,10,6.3 MiB,6632550.0,28090.0,27.4 KiB,1600,1,1,Memory_Bound,BS,65.0419,18.4194,97.4317,23.4312,98.1014,17.1054,40,2163208065604125458,7978373341745561370
150,12,9.5 MiB,9966265.965439523,140342.479338843,137.1 KiB,1936,1,1,Memory_Bound,FE,54.255,13.0251,63.3129,16.1926,86.0994,17.9396,44,151428218714533567,7425428010121107891
150,12,4.8 MiB,4983132.982719761,23390.4132231405,22.8 KiB,1936,1,1,Memory_Bound,BS,54.255,13.0251,63.3129,16.1926,86.0994,17.9396,44,151428218714533567,-1299442444214449344
150,16,6.5 MiB,6791731.199999999,109910.39999999998,107.3 KiB,2500,1,1,Memory_Bound,FE,41.3353,12.6087,43.5462,11.6127,67.05,11.6684,50,1077763400507752110,5843562755748303856
150,16,3.2 MiB,3395865.5999999996,18318.399999999998,17.9 KiB,2500,1,1,Memory_Bound,BS,41.3353,12.6087,43.5462,11.6127,67.05,11.6684,50,1077763400507752110,4019814480027075551
150,19,5.1 MiB,5391495.198902606,94936.29629629629,92.7 KiB,2916,1,1,Memory_Bound,FE,35.2449,7.0824,37.4252,8.4177,50.1176,7.4016,54,-5331411626403172645,-8281579122876379275
150,19,2.6 MiB,2695747.599451303,15822.716049382716,15.5 KiB,2916,1,1,Memory_Bound,BS,35.2449,7.0824,37.4252,8.4177,50.1176,7.4016,54,-5331411626403172645,6738138916627765063
64,7,4.9 MiB,5102728.174305035,91685.95041322315,89.5 KiB,484,1,1,Memory_Bound,FE,13.4266,4.3644,14.1838,3.4565,19.3022,3.7518,22,491964243658560376,-3972576000943363122
64,7,2.4 MiB,2551364.0871525174,15280.991735537193,14.9 KiB,484,1,1,Memory_Bound,BS,13.4266,4.3644,14.1838,3.4565,19.3022,3.7518,22,491964243658560376,6244328714513005241
64,9,3.3 MiB,3477366.3744000006,71995.776,70.3 KiB,625,1,1,Memory_Bound,FE,10.7108,3.9599,10.9648,3.4757,17.2177,3.9445,25,-3089394604143375768,6655829940399864080
64,9,1.7 MiB,1738683.1872000003,11999.295999999998,11.7 KiB,625,1,1,Memory_Bound,BS,10.7108,3.9599,10.9648,3.4757,17.2177,3.9445,25,-3089394604143375768,7222896109877169562
16,10,368.5 MiB,386420755.5757852,1515392.6627218938,1.4 MiB,169,1,1,Memory_Bound,FE,603.3945,532.7008,820.9565,289.4466,847.8963,120.9165,13,3357878464283711219,-5168434854201134561
16,10,184.3 MiB,193210377.7878926,252565.44378698227,246.6 KiB,169,1,1,Memory_Bound,BS,603.3945,532.7008,820.9565,289.4466,847.8963,120.9165,13,3357878464283711219,7912753442344883108
16,14,239.9 MiB,251545600.0,1142640.0,1.1 MiB,225,1,1,Memory_Bound,FE,452.214,247.933,682.5991,108.9363,604.1349,88.7608,15,-6660075413258788293,-816011991996190135
16,14,119.9 MiB,125772800.0,190440.0,186.0 KiB,225,1,1,Memory_Bound,BS,452.214,247.933,682.5991,108.9363,604.1349,88.7608,15,-6660075413258788293,-2476347011231194610
16,18,164.8 MiB,172800000.0,893040.0,872.1 KiB,289,1,1,Memory_Bound,FE,353.6867,172.6062,533.2949,63.908,555.9951,72.4647,17,-1714548688298774700,-2051604867341366781
16,18,82.4 MiB,86400000.0,148840.0,145.4 KiB,289,1,1,Memory_Bound,BS,353.6867,172.6062,533.2949,63.908,555.9951,72.4647,17,-1714548688298774700,8456366023840790660
32,7,15.4 MiB,16098918.399999999,190857.6,186.4 KiB,225,1,1,Memory_Bound,FE,29.6313,10.1902,44.9768,7.8153,36.8009,7.8224,15,3738514836526262185,2266483568110023614
32,7,7.7 MiB,8049459.199999999,31809.6,31.1 KiB,225,1,1,Memory_Bound,BS,29.6313,10.1902,44.9768,7.8153,36.8009,7.8224,15,3738514836526262185,-8823377827060438797
32,10,8.9 MiB,9316503.703703705,134426.6666666667,131.3 KiB,324,1,1,Memory_Bound,FE,20.0885,4.701,21.4381,4.2467,29.5859,4.7188,18,1030485437947213087,1196764685957166929
32,10,4.4 MiB,4658251.851851853,22404.44444444445,21.9 KiB,324,1,1,Memory_Bound,BS,20.0885,4.701,21.4381,4.2467,29.5859,4.7188,18,1030485437947213087,-8212197815002484247
32,12,6.5 MiB,6791731.199999999,109910.39999999998,107.3 KiB,400,1,1,Memory_Bound,FE,16.4936,4.4992,17.0408,3.04,26.5669,3.6939,20,2850147654478054123,4847980315335094047
32,12,3.2 MiB,3395865.5999999996,18318.399999999998,17.9 KiB,400,1,1,Memory_Bound,BS,16.4936,4.4992,17.0408,3.04,26.5669,3.6939,20,2850147654478054123,-389597404256240253
32,15,4.9 MiB,5102728.174305035,91685.95041322315,89.5 KiB,484,1,1,Memory_Bound,FE,13.4079,4.7409,14.2719,3.0813,19.3052,3.738,22,722513004518093135,-1598097509696532157
32,15,2.4 MiB,2551364.0871525174,15280.991735537193,14.9 KiB,484,1,1,Memory_Bound,BS,13.4079,4.7409,14.2719,3.0813,19.3052,3.738,22,722513004518093135,1438124402466893709
32,19,3.3 MiB,3477366.3744000006,71995.776,70.3 KiB,625,1,1,Memory_Bound,FE,10.7332,4.1479,11.0277,3.2688,17.2244,3.2752,25,-3582051992138390684,6862599812314658690
32,19,1.7 MiB,1738683.1872000003,11999.295999999998,11.7 KiB,625,1,1,Memory_Bound,BS,10.7332,4.1479,11.0277,3.2688,17.2244,3.2752,25,-3582051992138390684,2154081027777724715
