Total_Time,Computation_Time,Derived_Communication_Time,Measured_Communication_Time,Number_of_Nodes,Processes_per_Node,Working_Set_Size,Working_Set_Size_(Bytes),Message_Size,Message_Size_(Bytes),Total_Time_STD,Computation_Time_STD,Measured_Communication_Time_STD,Derived_Communication_Time_STD,Total_Processes,Message_Size_Mul.,Number_of_Messages,Computational_Load_Type,Communication_to_Total_Time_Ratio,RF_Model_Communication_Time,RF_Model_Communication_Time_Percentage_Error,Gradient_Boosting_Model_Communication_Time,Gradient_Boosting_Model_Communication_Time_Percentage_Error,Tuned_Gradient_Boosting_Model_Communication_Time,Tuned_Gradient_Boosting_Model_Communication_Time_Percentage_Error
2.4819206191406247,2.120954345703125,0.3609662734375,0.360958705078125,32,16,128MiB,134217728.0,3.1MiB,409600.0,0.0129123143818892,0.0462287026836795,0.0432603339622378,0.0432610746407178,512.0,100.0,2.0,Memory_Bound,0.145435233622866,1.1925909519195557,2.3039541244506836,0.40364155173301697,0.1182485893368721,0.5034719705581665,0.3948187828063965
2.48978283203125,2.1773974609375,0.31238537109375,0.3123784824218749,32,16,128MiB,134217728.0,1.6MiB,204800.0,0.0089115619669357,0.037487286082647,0.0351627430855511,0.0351640707675921,512.0,50.0,4.0,Memory_Bound,0.1254641482795613,0.6836814880371094,1.1886317729949951,0.45767495036125183,0.4651294946670532,0.3991023898124695,0.2776243984699249
2.777816228515625,2.19014313671875,0.5876730917968749,0.5876661503906251,32,16,128MiB,134217728.0,3.1MiB,409600.0,0.0157516849261351,0.0321452933383634,0.0275955561788339,0.0275960579204954,512.0,100.0,4.0,Memory_Bound,0.2115568857140181,1.27298104763031,1.166163682937622,0.7705365419387817,0.3111807405948639,0.8885977268218994,0.512079119682312
2.825514162109375,2.153908203125,0.671605958984375,0.671599166015625,32,16,128MiB,134217728.0,1.6MiB,204800.0,0.0391944121006193,0.0647442772269366,0.0780800029672451,0.0780805751895685,512.0,50.0,8.0,Memory_Bound,0.237690957285539,0.8841797113418579,0.31652894616127014,0.9148242473602295,0.3621581494808197,0.8610948920249939,0.2821560204029083
3.432617287109375,2.135889068359375,1.2967282187499998,1.296721169921875,32,16,128MiB,134217728.0,3.1MiB,409600.0,0.0404815456802925,0.0715194997480009,0.0820697000308681,0.0820702130326087,512.0,100.0,8.0,Memory_Bound,0.377764563148795,1.5969305038452148,0.2315141260623932,1.508365273475647,0.163214772939682,1.458613634109497,0.12484750896692276
2.9390879421875,2.582710190625,0.3563777515625,0.356368696875,32,20,128MiB,134217728.0,1.6MiB,204800.0,0.0257936207669666,0.1460619360997498,0.1398174283000602,0.1398183473737972,640.0,50.0,2.0,Memory_Bound,0.1212514575558302,0.8213155269622803,1.304679274559021,0.3044763207435608,-0.14561428129673004,0.42767634987831116,0.20009519159793854
3.08212090625,2.6199733015625,0.4621476046874999,0.4621395109374999,32,20,128MiB,134217728.0,3.1MiB,409600.0,0.019386480432023,0.0615791384649765,0.061210206707551,0.0612112994410675,640.0,100.0,2.0,Memory_Bound,0.1499420447784388,1.432604193687439,2.0999388694763184,0.2037799209356308,-0.5590510964393616,0.509112536907196,0.10164251178503036
2.8855074984375,2.5935322015625,0.291975296875,0.2919659906249999,32,20,128MiB,134217728.0,32.0KiB,4096.0,0.0273423498272368,0.1416242169569758,0.1431817085296465,0.1431821282350711,640.0,1.0,4.0,Memory_Bound,0.1011835840950333,0.6093029379844666,1.0868968963623047,0.2235998660326004,-0.23415783047676086,0.26046234369277954,-0.10790177434682846
3.148799284375,2.7219287078125,0.4268705765624999,0.426863428125,32,20,128MiB,134217728.0,1.6MiB,204800.0,0.0181675995270531,0.0561758186197078,0.059386431833699,0.0593870472832966,640.0,50.0,4.0,Memory_Bound,0.1355638735829195,0.8644471764564514,1.0251141786575317,0.39068734645843506,-0.08474861830472946,0.6449594497680664,0.5109269022941589
3.5099908390625005,2.689673346875,0.8203174921875,0.8203100890625,32,20,128MiB,134217728.0,3.1MiB,409600.0,0.0279043411219591,0.0939813565100895,0.0888785679272385,0.0888791058870485,640.0,100.0,4.0,Memory_Bound,0.2337071880454253,1.57451593875885,0.9194154739379883,0.8767931461334229,0.06885570287704468,1.034981608390808,0.26169553399086
